alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,3649,2584,1065,965,100,70.813922,26.445602,2.740477,3,10,14,4.205181,18
0.027500,5179,4176,1003,903,100,80.633327,17.435798,1.930875,2,9,11,3.800664,18
0.025000,10898,9627,1271,1171,100,88.337310,10.745091,0.917600,2,10,13,4.008540,18
0.022500,22971,21627,1344,1244,100,94.149145,5.415524,0.435332,2,9,12,3.735531,18
0.020000,49594,48137,1457,1357,100,97.062145,2.736218,0.201637,2,9,12,3.761975,18
0.017500,110420,109026,1394,1294,100,98.737548,1.171889,0.090563,2,9,12,3.840804,18
0.015000,274872,273566,1306,1206,100,99.524870,0.438750,0.036381,2,9,12,3.749585,18
0.012500,858225,856871,1354,1254,100,99.842233,0.146116,0.011652,3,10,13,4.235247,18
0.010000,2441690,2440631,1059,959,100,99.956628,0.039276,0.004096,3,10,13,4.271116,18
0.007500,10000000,9999044,956,895,61,99.990440,0.008950,0.000610,3,10,13,4.454749,18
0.005000,10000000,9999870,130,123,7,99.998700,0.001230,0.000070,4,10,12,4.674797,18
