alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,4965,3491,1474,1374,100,70.312185,27.673716,2.014099,4,17,21,6.827511,30
0.027500,6407,5173,1234,1134,100,80.739816,17.699391,1.560793,4,17,22,6.358907,30
0.025000,14573,12952,1621,1521,100,88.876690,10.437110,0.686201,4,16,21,6.214333,30
0.022500,29562,27708,1854,1754,100,93.728435,5.933293,0.338272,3,15,20,5.942417,30
0.020000,66331,64401,1930,1830,100,97.090350,2.758891,0.150759,4,15,21,6.204918,30
0.017500,170597,168491,2106,2006,100,98.765512,1.175871,0.058618,4,15,20,6.205882,30
0.015000,417698,415685,2013,1913,100,99.518073,0.457986,0.023941,4,15,21,6.226346,30
0.012500,1175117,1173367,1750,1650,100,99.851079,0.140412,0.008510,4,16,20,6.427879,30
0.010000,4884048,4881957,2091,1991,100,99.957187,0.040765,0.002047,5,16,22,7.385736,30
0.007500,10000000,9998970,1030,1003,27,99.989700,0.010030,0.000270,5,15,19,6.665005,30
0.005000,10000000,9999867,133,130,3,99.998670,0.001300,0.000030,5,19,24,7.230769,30
