alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,5512,3948,1564,1464,100,71.625544,26.560232,1.814224,3,12,15,5.119536,22
0.027500,8722,7042,1680,1580,100,80.738363,18.115111,1.146526,3,11,15,4.606329,23
0.025000,19137,16964,2173,2073,100,88.645033,10.832419,0.522548,3,11,15,4.668114,23
0.022500,34442,32369,2073,1973,100,93.981186,5.728471,0.290343,3,10,14,4.378611,22
0.020000,91774,89231,2543,2443,100,97.229063,2.661974,0.108963,3,11,15,4.418747,23
0.017500,168215,166083,2132,2032,100,98.732574,1.207978,0.059448,3,11,15,4.724409,23
0.015000,404782,402929,1853,1753,100,99.542223,0.433073,0.024705,3,12,15,4.865944,23
0.012500,1708874,1706268,2606,2506,100,99.847502,0.146646,0.005852,3,11,15,4.875898,23
0.010000,5845926,5843500,2426,2326,100,99.958501,0.039788,0.001711,4,11,14,5.058040,23
0.007500,10000000,9999072,928,877,51,99.990720,0.008770,0.000510,4,12,14,5.137970,23
0.005000,10000000,9999864,136,128,8,99.998640,0.001280,0.000080,3,11,12,4.781250,21
