alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,9348,8637,711,611,100,92.394095,6.536157,1.069748,3,11,13,4.572831,16
0.027500,20178,19305,873,773,100,95.673506,3.830905,0.495589,3,10,12,4.557568,16
0.025000,49077,47958,1119,1019,100,97.719910,2.076329,0.203761,3,10,12,4.439647,16
0.022500,125451,124111,1340,1240,100,98.931854,0.988434,0.079712,3,10,12,4.455645,16
0.020000,279324,278046,1278,1178,100,99.542467,0.421732,0.035801,3,10,12,4.312394,16
0.017500,744242,742901,1341,1241,100,99.819817,0.166747,0.013436,3,10,12,4.423852,16
0.015000,1801115,1799953,1162,1062,100,99.935484,0.058963,0.005552,3,9,11,4.207156,16
0.012500,7726720,7724913,1807,1707,100,99.976614,0.022092,0.001294,3,9,10,3.901582,16
0.010000,10000000,9999322,678,650,28,99.993220,0.006500,0.000280,3,9,13,4.513846,16
0.007500,10000000,9999865,135,124,11,99.998650,0.001240,0.000110,4,9,12,4.435484,16
0.005000,10000000,9999983,17,17,0,99.999830,0.000170,0.000000,3,7,12,3.470588,12
