result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_escaped,frames_ml_no_escape,frames_ml_invoked_decoded_clean,ml_escape_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.053000,0.070000,0.005000,0.001000,138,38,30,42,28,14,8,66.666667,68,68,39
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.052000,0.070000,0.005000,0.001000,145,45,41,33,21,12,4,63.636364,61,61,32
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.051000,0.070000,0.005000,0.001000,151,51,42,37,26,11,9,70.270270,46,46,29
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.050000,0.070000,0.005000,0.001000,161,61,58,29,14,15,3,48.275862,41,41,16
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.049000,0.070000,0.005000,0.001000,167,67,65,17,13,4,2,76.470588,22,22,14
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.048000,0.070000,0.005000,0.001000,182,82,76,28,17,11,6,60.714286,54,54,37
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.047000,0.070000,0.005000,0.001000,174,74,59,35,27,8,15,77.142857,41,41,29
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.046000,0.070000,0.005000,0.001000,185,85,77,27,22,5,8,81.481481,29,29,22
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.045000,0.070000,0.005000,0.001000,169,69,65,20,15,5,4,75.000000,51,51,34
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.044000,0.070000,0.005000,0.001000,222,122,108,30,19,11,14,63.333333,33,33,20
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.043000,0.070000,0.005000,0.001000,248,148,139,20,13,7,9,65.000000,21,21,14
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.042000,0.070000,0.005000,0.001000,287,187,169,28,15,13,18,53.571429,31,31,15
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.041000,0.070000,0.005000,0.001000,348,248,231,29,18,11,17,62.068966,31,31,20
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.040000,0.070000,0.005000,0.001000,309,209,198,22,16,6,11,72.727273,102,102,18
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.039000,0.070000,0.005000,0.001000,397,297,282,29,19,10,15,65.517241,35,35,21
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.038000,0.070000,0.005000,0.001000,371,271,255,23,14,9,16,60.869565,42,42,30
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.037000,0.070000,0.005000,0.001000,444,344,331,23,17,6,13,73.913043,24,24,17
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.036000,0.070000,0.005000,0.001000,424,324,314,21,9,12,10,42.857143,53,53,38
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.035000,0.070000,0.005000,0.001000,515,415,404,18,10,8,11,55.555556,18,18,10
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.034000,0.070000,0.005000,0.001000,601,501,487,18,11,7,14,61.111111,19,19,11
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.033000,0.070000,0.005000,0.001000,815,715,701,17,9,8,14,52.941176,17,17,9
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.032000,0.070000,0.005000,0.001000,862,762,749,18,11,7,13,61.111111,25,25,15
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.031000,0.070000,0.005000,0.001000,980,880,864,18,14,4,16,77.777778,19,19,15
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.030000,0.070000,0.005000,0.001000,1097,997,990,9,4,5,7,44.444444,9,9,4
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.029000,0.070000,0.005000,0.001000,1268,1168,1149,24,10,14,19,41.666667,25,25,11
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.028000,0.070000,0.005000,0.001000,1896,1796,1767,31,18,13,29,58.064516,56,56,41
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.027000,0.070000,0.005000,0.001000,2017,1917,1899,21,11,10,18,52.380952,27,27,16
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.026000,0.070000,0.005000,0.001000,2307,2207,2191,21,10,11,16,47.619048,63,63,41
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.025000,0.070000,0.005000,0.001000,2849,2749,2730,24,17,7,19,70.833333,69,69,49
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.024000,0.070000,0.005000,0.001000,3097,2997,2980,19,12,7,17,63.157895,19,19,12
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.023000,0.070000,0.005000,0.001000,3937,3837,3826,15,8,7,11,53.333333,20,20,12
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.022000,0.070000,0.005000,0.001000,5913,5813,5796,19,10,9,17,52.631579,38,38,28
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.021000,0.070000,0.005000,0.001000,7687,7587,7572,16,9,7,15,56.250000,34,34,27
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.020000,0.070000,0.005000,0.001000,8530,8430,8419,12,5,7,11,41.666667,12,12,5
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.019000,0.070000,0.005000,0.001000,13774,13674,13656,21,13,8,18,61.904762,59,59,50
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.018000,0.070000,0.005000,0.001000,16294,16194,16182,16,10,6,12,62.500000,110,110,10
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.017000,0.070000,0.005000,0.001000,22047,21947,21929,19,9,10,18,47.368421,19,19,9
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.016000,0.070000,0.005000,0.001000,27267,27167,27156,14,5,9,11,35.714286,70,70,59
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.015000,0.070000,0.005000,0.001000,44369,44269,44258,12,4,8,11,33.333333,26,26,18
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.014000,0.070000,0.005000,0.001000,71571,71471,71463,10,5,5,8,50.000000,31,31,25
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.013000,0.070000,0.005000,0.001000,92541,92441,92434,8,6,2,7,75.000000,11,11,8
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.012000,0.070000,0.005000,0.001000,135955,135855,135846,10,8,2,9,80.000000,10,10,8
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.011000,0.070000,0.005000,0.001000,191400,191300,191294,7,4,3,6,57.142857,100,100,4
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.010000,0.070000,0.005000,0.001000,366007,365907,365901,7,6,1,6,85.714286,8,8,7
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.009000,0.070000,0.005000,0.001000,557266,557166,557161,8,4,4,5,50.000000,141,141,39
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.008000,0.070000,0.005000,0.001000,981127,981027,981022,8,6,2,5,75.000000,11,11,9
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.007000,0.070000,0.005000,0.001000,1967683,1967583,1967576,12,10,2,7,83.333333,173,173,66
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.006000,0.070000,0.005000,0.001000,3825494,3825394,3825391,5,4,1,3,80.000000,119,119,22
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,100,0.005000,0.070000,0.005000,0.001000,5000000,4999949,4999947,3,3,0,2,100.000000,6,6,6
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.070000,0.070000,0.004000,0.001000,507,7,2,266,223,43,5,83.834586,509,509,373
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.069000,0.070000,0.004000,0.001000,509,9,7,272,223,49,2,81.985294,519,519,337
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.068000,0.070000,0.004000,0.001000,509,9,7,251,194,57,2,77.290837,463,463,302
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.067000,0.070000,0.004000,0.001000,512,12,10,235,194,41,2,82.553191,452,452,298
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.066000,0.070000,0.004000,0.001000,513,13,8,236,200,36,5,84.745763,392,392,285
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.065000,0.070000,0.004000,0.001000,518,18,15,249,201,48,3,80.722892,468,468,311
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.064000,0.070000,0.004000,0.001000,523,23,17,211,168,43,6,79.620853,344,344,250
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.063000,0.070000,0.004000,0.001000,535,35,22,216,161,55,13,74.537037,337,337,218
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.062000,0.070000,0.004000,0.001000,545,45,35,224,174,50,10,77.678571,351,351,243
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.061000,0.070000,0.004000,0.001000,555,55,44,206,164,42,11,79.611650,353,353,246
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.060000,0.070000,0.004000,0.001000,559,59,45,208,159,49,14,76.442308,355,355,246
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.059000,0.070000,0.004000,0.001000,562,62,50,181,127,54,12,70.165746,286,286,177
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.058000,0.070000,0.004000,0.001000,561,61,45,201,157,44,16,78.109453,295,295,207
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.057000,0.070000,0.004000,0.001000,588,88,70,201,145,56,18,72.139303,298,298,199
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.056000,0.070000,0.004000,0.001000,612,112,95,168,126,42,17,75.000000,370,370,176
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.055000,0.070000,0.004000,0.001000,642,142,115,189,144,45,27,76.190476,356,356,189
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.054000,0.070000,0.004000,0.001000,649,149,121,159,112,47,28,70.440252,294,294,149
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.053000,0.070000,0.004000,0.001000,645,145,124,157,117,40,21,74.522293,264,264,160
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.052000,0.070000,0.004000,0.001000,657,157,134,160,102,58,23,63.750000,296,296,131
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.051000,0.070000,0.004000,0.001000,735,235,196,171,126,45,39,73.684211,232,232,167
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.050000,0.070000,0.004000,0.001000,759,259,227,143,105,38,32,73.426573,217,217,135
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.049000,0.070000,0.004000,0.001000,809,309,274,144,106,38,35,73.611111,284,284,145
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.048000,0.070000,0.004000,0.001000,848,348,316,149,100,49,32,67.114094,269,269,135
results/IRISC_P_dv3_R050_L54_N1296/collect/simulation.res,5000000,100,500,0.047000,0.070000,0.004000,0.001000,950,450,398,158,114,44,52,72.151899,284,284,180
