alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,3615,2537,1078,978,100,70.179806,27.053942,2.766252,3,9,12,3.771984,15
0.027500,6181,4992,1189,1089,100,80.763630,17.618508,1.617861,2,8,10,3.525253,15
0.025000,13795,12277,1518,1418,100,88.996013,10.279087,0.724900,2,7,10,3.208039,15
0.022500,22797,21397,1400,1300,100,93.858841,5.702505,0.438654,2,8,10,3.306923,15
0.020000,50568,49090,1478,1378,100,97.077203,2.725044,0.197754,2,8,11,3.451379,15
0.017500,103107,101713,1394,1294,100,98.648006,1.255007,0.096987,2,8,11,3.403400,15
0.015000,302120,300724,1396,1296,100,99.537932,0.428969,0.033099,2,9,11,3.723765,15
0.012500,885370,884060,1310,1210,100,99.852039,0.136666,0.011295,3,8,11,3.574380,15
0.010000,3549333,3547782,1551,1451,100,99.956302,0.040881,0.002817,3,9,11,3.857340,15
0.007500,10000000,9999103,897,826,71,99.991030,0.008260,0.000710,3,8,11,3.789346,15
0.005000,10000000,9999869,131,124,7,99.998690,0.001240,0.000070,3,9,10,3.846774,15
