alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,11690,10767,923,823,100,92.104363,7.040205,0.855432,4,13,16,5.575942,20
0.027500,22322,21384,938,838,100,95.797868,3.754144,0.447989,4,13,16,5.548926,20
0.025000,57130,55853,1277,1177,100,97.764747,2.060214,0.175039,4,12,16,5.132540,20
0.022500,124692,123462,1230,1130,100,99.013569,0.906233,0.080198,4,12,15,5.369027,20
0.020000,252404,251239,1165,1065,100,99.538438,0.421943,0.039619,4,12,15,5.249765,20
0.017500,908622,907024,1598,1498,100,99.824129,0.164865,0.011006,4,12,15,5.190921,20
0.015000,2268981,2267384,1597,1497,100,99.929616,0.065977,0.004407,4,12,14,5.192385,20
0.012500,10000000,9997888,2112,2019,93,99.978880,0.020190,0.000930,4,11,14,4.999009,20
0.010000,10000000,9999388,612,584,28,99.993880,0.005840,0.000280,4,11,13,5.119863,20
0.007500,10000000,9999872,128,126,2,99.998720,0.001260,0.000020,4,12,15,5.190476,19
0.005000,10000000,9999982,18,17,1,99.999820,0.000170,0.000010,4,9,11,4.764706,11
