result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_decoded_clean_without_ml_invocation,frames_with_ml_invocation,frames_with_applied_ml_escape,frames_with_ml_invocation_no_applied_escape,frames_with_ml_invocation_decoded_clean,applied_ml_escape_frame_rate_pct,total_stagnation_events,total_ml_predict_calls,total_applied_ml_escape_actions
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.030000,0.030000,0.004000,0.002500,11690,11590,164,11526,7951,3575,11426,68.983168,2747,84865,18158
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.027500,0.030000,0.004000,0.002500,22322,22222,589,21733,13362,8371,21633,61.482538,3672,126434,25551
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.025000,0.030000,0.004000,0.002500,57130,57030,3251,53879,29347,24532,53779,54.468346,6052,254866,48816
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.022500,0.030000,0.004000,0.002500,124692,124592,13874,110818,51661,59157,110718,46.617878,7915,435935,75644
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.020000,0.030000,0.004000,0.002500,252404,252304,50528,201876,77681,124195,201776,38.479562,9040,671704,103686
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.017500,0.030000,0.004000,0.002500,908622,908522,298104,610518,190934,419584,610418,31.274098,16621,1739374,234204
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.015000,0.030000,0.004000,0.002500,2268981,2268881,1108162,1160819,288996,871823,1160719,24.895871,19357,2851930,332971
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.012500,0.030000,0.004000,0.002500,10000000,9999907,6609682,3390318,659159,2731159,3390225,19.442394,32076,7209883,721154
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.010000,0.030000,0.004000,0.002500,10000000,9999972,8139731,1860269,282545,1577724,1860241,15.188395,10103,3417151,297932
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.007500,0.030000,0.004000,0.002500,10000000,9999998,9228322,771678,90820,680858,771676,11.769158,2145,1223705,93353
results/IRISC_P_dv3_R050_L54_N1296/ml_feedback/feedback_min_4_win/simulation.res,10000000,100,100,0.005000,0.030000,0.004000,0.002500,10000000,9999999,9796788,203212,18325,184887,203211,9.017676,214,277449,18570
