trigger,alpha,tested,baseline_clean,stuck_frames,recovered_after_ml,not_recovered_after_ml,baseline_clean_rate_pct,stuck_rate_pct,ml_recovery_given_stuck_pct,ml_failure_given_stuck_pct,ml_contribution_to_total_clean_pct
4it,0.01,7141808,7139714,2094,1994,100,99.9707,0.0293,95.2245,4.7755,0.0279
4it,0.0125,2021497,2019618,1879,1779,100,99.907,0.093,94.678,5.322,0.088
4it,0.015,856848,854824,2024,1924,100,99.7638,0.2362,95.0593,4.9407,0.2246
4it,0.0175,290379,288734,1645,1545,100,99.4335,0.5665,93.921,6.079,0.5322
4it,0.02,156530,154826,1704,1604,100,98.9114,1.0886,94.1315,5.8685,1.0254
4it,0.0225,72921,71410,1511,1411,100,97.9279,2.0721,93.3819,6.6181,1.9376
4it,0.025,42090,40610,1480,1380,100,96.4837,3.5163,93.2432,6.7568,3.2865
4it,0.0275,18250,17185,1065,965,100,94.1644,5.8356,90.6103,9.3897,5.3168
4it,0.03,9213,8383,830,730,100,90.991,9.009,87.9518,12.0482,8.0105
4it,0.0325,5643,4936,707,607,100,87.4712,12.5288,85.8557,14.1443,10.9507
4it,0.035,3621,2958,663,563,100,81.6901,18.3099,84.917,15.083,15.9898
4it,0.0375,2031,1507,524,424,100,74.1999,25.8001,80.916,19.084,21.9575
4it,0.04,1485,1058,427,327,100,71.2458,28.7542,76.5808,23.4192,23.6101
4it,0.0425,897,518,379,279,100,57.748,42.252,73.6148,26.3852,35.0063
4it,0.045,697,379,318,218,100,54.3759,45.6241,68.5535,31.4465,36.5159
4it,0.0475,456,186,270,170,100,40.7895,59.2105,62.963,37.037,47.7528
4it,0.05,305,103,202,102,100,33.7705,66.2295,50.495,49.505,49.7561
4it,0.0525,260,87,173,73,100,33.4615,66.5385,42.1965,57.8035,45.625
4it,0.055,192,42,150,50,100,21.875,78.125,33.3333,66.6667,54.3478
4it,0.0575,180,38,142,42,100,21.1111,78.8889,29.5775,70.4225,52.5
4it,0.06,152,22,130,30,100,14.4737,85.5263,23.0769,76.9231,57.6923
4it,0.0625,132,7,125,25,100,5.303,94.697,20.0,80.0,78.125
4it,0.065,118,5,113,13,100,4.2373,95.7627,11.5044,88.4956,72.2222
4it,0.0675,113,2,111,11,100,1.7699,98.2301,9.9099,90.0901,84.6154
4it,0.07,107,2,105,5,100,1.8692,98.1308,4.7619,95.2381,71.4286
