trigger,alpha,tested,baseline_clean,stuck_frames,recovered_after_ml,not_recovered_after_ml,baseline_clean_rate_pct,stuck_rate_pct,ml_recovery_given_stuck_pct,ml_failure_given_stuck_pct,ml_contribution_to_total_clean_pct
2it,0.005,10000000,9999881,119,84,35,99.9988,0.0012,70.5882,29.4118,0.0008
2it,0.0075,3882762,3882484,278,178,100,99.9928,0.0072,64.0288,35.9712,0.0046
2it,0.01,1005309,1005013,296,196,100,99.9706,0.0294,66.2162,33.7838,0.0195
2it,0.0125,387730,387379,351,251,100,99.9095,0.0905,71.51,28.49,0.0648
2it,0.015,184080,183652,428,328,100,99.7675,0.2325,76.6355,23.3645,0.1783
2it,0.0175,82580,82140,440,340,100,99.4672,0.5328,77.2727,22.7273,0.4122
2it,0.02,34636,34246,390,290,100,98.874,1.126,74.359,25.641,0.8397
2it,0.0225,19952,19532,420,320,100,97.8949,2.1051,76.1905,23.8095,1.6119
2it,0.025,10356,9990,366,266,100,96.4658,3.5342,72.6776,27.3224,2.5936
2it,0.0275,6689,6309,380,280,100,94.319,5.681,73.6842,26.3158,4.2495
2it,0.03,4446,4044,402,302,100,90.9582,9.0418,75.1244,24.8756,6.9489
2it,0.0325,2797,2447,350,250,100,87.4866,12.5134,71.4286,28.5714,9.2696
2it,0.035,1715,1410,305,205,100,82.2157,17.7843,67.2131,32.7869,12.6935
2it,0.0375,1193,916,277,177,100,76.7812,23.2188,63.8989,36.1011,16.194
2it,0.04,746,494,252,152,100,66.2198,33.7802,60.3175,39.6825,23.5294
2it,0.0425,576,363,213,113,100,63.0208,36.9792,53.0516,46.9484,23.7395
2it,0.045,393,198,195,95,100,50.3817,49.6183,48.7179,51.2821,32.4232
2it,0.0475,368,166,202,102,100,45.1087,54.8913,50.495,49.505,38.0597
2it,0.05,239,84,155,55,100,35.1464,64.8536,35.4839,64.5161,39.5683
2it,0.0525,190,53,137,37,100,27.8947,72.1053,27.0073,72.9927,41.1111
2it,0.055,164,34,130,30,100,20.7317,79.2683,23.0769,76.9231,46.875
2it,0.0575,169,38,131,31,100,22.4852,77.5148,23.6641,76.3359,44.9275
2it,0.06,145,16,129,29,100,11.0345,88.9655,22.4806,77.5194,64.4444
2it,0.0625,120,3,117,17,100,2.5,97.5,14.5299,85.4701,85.0
2it,0.065,110,5,105,5,100,4.5455,95.4545,4.7619,95.2381,50.0
2it,0.0675,110,2,108,8,100,1.8182,98.1818,7.4074,92.5926,80.0
2it,0.07,107,2,105,5,100,1.8692,98.1308,4.7619,95.2381,71.4286
