alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,12546,11499,1047,947,100,91.654711,7.548223,0.797067,4,13,15,5.670539,20
0.027500,25601,24459,1142,1042,100,95.539237,4.070154,0.390610,4,12,16,5.452975,20
0.025000,57614,56342,1272,1172,100,97.792203,2.034228,0.173569,4,13,16,5.595563,20
0.022500,106089,104988,1101,1001,100,98.962192,0.943547,0.094260,4,12,15,5.033966,20
0.020000,374234,372575,1659,1559,100,99.556694,0.416584,0.026721,4,11,14,4.960872,20
0.017500,796188,794771,1417,1317,100,99.822027,0.165413,0.012560,4,12,14,5.167046,20
0.015000,2319035,2317543,1492,1392,100,99.935663,0.060025,0.004312,4,11,15,5.082615,20
0.012500,10000000,9997850,2150,2059,91,99.978500,0.020590,0.000910,4,12,15,5.063137,20
0.010000,10000000,9999347,653,608,45,99.993470,0.006080,0.000450,4,11,14,5.190789,20
0.007500,10000000,9999863,137,131,6,99.998630,0.001310,0.000060,4,12,14,5.282443,20
0.005000,10000000,9999977,23,21,2,99.999770,0.000210,0.000020,5,8,11,4.761905,16
