alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,3600,2547,1053,953,100,70.750000,26.472222,2.777778,3,9,12,3.993704,15
0.027500,7000,5696,1304,1204,100,81.371429,17.200000,1.428571,3,9,11,3.860465,15
0.025000,13919,12341,1578,1478,100,88.662979,10.618579,0.718442,2,8,11,3.571719,15
0.022500,21795,20482,1313,1213,100,93.975682,5.565497,0.458821,2,8,11,3.436933,15
0.020000,49286,47844,1442,1342,100,97.074220,2.722883,0.202897,2,8,10,3.488823,15
0.017500,119637,118107,1530,1430,100,98.721131,1.195282,0.083586,2,9,11,3.627273,15
0.015000,276921,275618,1303,1203,100,99.529469,0.434420,0.036111,3,8,11,3.667498,15
0.012500,919343,917883,1460,1360,100,99.841191,0.147932,0.010877,3,9,11,3.799265,15
0.010000,2614925,2613707,1218,1118,100,99.953421,0.042755,0.003824,3,8,11,3.785331,15
0.007500,10000000,9999095,905,838,67,99.990950,0.008380,0.000670,3,9,11,3.926014,15
0.005000,10000000,9999864,136,128,8,99.998640,0.001280,0.000080,3,8,11,3.890625,14
