epoch,train_loss,val_loss,exact_acc,bit_acc,hamming_loss,precision,recall,f1,pred_positive_rate,true_positive_rate
1,0.5352773698635924,0.34367899121218964,0.39541984732824426,0.9264994547437295,0.07350054525627048,0.3448763250883392,0.5368536853685368,0.4199655765920826,0.07715376226826609,0.049563794983642315
2,0.35063532771875805,0.3173531712466524,0.4083969465648855,0.9263904034896401,0.07360959651035992,0.34866163349347973,0.5588558855885588,0.42941673710904477,0.07944383860414395,0.049563794983642315
3,0.33079901044663185,0.3054709030926683,0.4404580152671756,0.9331515812431843,0.06684841875681569,0.3833701250919794,0.5731573157315731,0.45943562610229277,0.07410032715376227,0.049563794983642315
4,0.31781763504493055,0.2951440612778409,0.43740458015267175,0.9325517993456924,0.06744820065430757,0.3861111111111111,0.6116611661166117,0.4733929331630481,0.07851690294438386,0.049563794983642315
5,0.30783976008360064,0.29001047065239827,0.42900763358778626,0.9333696837513631,0.06663031624863691,0.39078855547801816,0.6160616061606161,0.47822374039282667,0.07813522355507088,0.049563794983642315
6,0.3001679436387759,0.2849001150094826,0.4198473282442748,0.9313522355507088,0.06864776444929122,0.3837981407702523,0.6358635863586358,0.4786749482401656,0.08211559432933478,0.049563794983642315
7,0.29403642896796756,0.2828480819254431,0.42290076335877863,0.9326063249727372,0.06739367502726279,0.39004707464694016,0.6380638063806381,0.48414023372287146,0.08107960741548528,0.049563794983642315
8,0.28898167634060373,0.27976340005415995,0.42290076335877863,0.9316793893129771,0.06832061068702289,0.3872870249017038,0.6501650165016502,0.4854209445585216,0.083206106870229,0.049563794983642315
9,0.28534719906000716,0.27801524268761846,0.43206106870229005,0.9324972737186478,0.06750272628135223,0.39069767441860465,0.6468646864686468,0.4871582435791218,0.08206106870229007,0.049563794983642315
10,0.28208309084341987,0.27652630182622956,0.4183206106870229,0.9302617230098146,0.06973827699018542,0.38156209987195905,0.6556655665566556,0.48239579117766085,0.0851690294438386,0.049563794983642315
11,0.2791312004767158,0.27518506982854307,0.43740458015267175,0.9344056706652126,0.06559432933478737,0.40107671601615075,0.6556655665566556,0.4977035490605428,0.08102508178844056,0.049563794983642315
12,0.27717864194269465,0.27495751913267236,0.42442748091603055,0.929989094874591,0.07001090512540897,0.3830318153462258,0.6754675467546755,0.4888535031847134,0.08740458015267176,0.049563794983642315
13,0.2749802361214564,0.2740219243155181,0.42366412213740456,0.9291166848418757,0.0708833151581243,0.3805742211362248,0.6853685368536854,0.48939512961508247,0.08925845147219193,0.049563794983642315
14,0.27316340531049554,0.27209045372846474,0.4305343511450382,0.9302071973827699,0.06979280261723009,0.38296529968454257,0.6677667766776678,0.4867682437850842,0.08642311886586695,0.049563794983642315
15,0.2722271964121784,0.2720239270734423,0.4312977099236641,0.9292257360959651,0.07077426390403485,0.37851342910680824,0.6666666666666666,0.48286852589641427,0.08729552889858233,0.049563794983642315
16,0.2699997131663849,0.27197815475573067,0.4259541984732824,0.9275899672846237,0.07241003271537627,0.3740228502705953,0.6842684268426843,0.4836702954898911,0.09067611777535442,0.049563794983642315
17,0.26884643115440293,0.27172503917271856,0.43740458015267175,0.9309705561613959,0.0690294438386041,0.3849129593810445,0.6567656765676567,0.4853658536585366,0.08456924754634679,0.049563794983642315
18,0.26757095676497844,0.2717841102876736,0.43206106870229005,0.9297164667393675,0.07028353326063252,0.37989886219974717,0.6611661166116611,0.48253713368125245,0.08625954198473282,0.049563794983642315
19,0.26680481858518795,0.2709252000765036,0.4396946564885496,0.9302071973827699,0.06979280261723009,0.3828174352495262,0.6666666666666666,0.4863563402889245,0.08631406761177754,0.049563794983642315
20,0.26532107095018465,0.2713537901867437,0.433587786259542,0.9292802617230098,0.07071973827699018,0.37995049504950495,0.6754675467546755,0.4863366336633663,0.088113413304253,0.049563794983642315
21,0.2647498786238956,0.27100001409763597,0.4480916030534351,0.9335332606324973,0.06646673936750269,0.3963903743315508,0.6523652365236524,0.4931392931392931,0.08157033805888768,0.049563794983642315
22,0.2635216876213094,0.2702729317978138,0.44198473282442746,0.9308615049073065,0.06913849509269354,0.38731952291274324,0.6787678767876788,0.49320543565147884,0.08685932388222464,0.049563794983642315
23,0.26272131186060427,0.26963345958986357,0.4435114503816794,0.9320065430752453,0.06799345692475467,0.39152759948652116,0.671067106710671,0.49452776651803815,0.08495092693565975,0.049563794983642315
24,0.26189340752860385,0.2703586630238832,0.4366412213740458,0.9298255179934569,0.07017448200654308,0.3831891223733004,0.682068206820682,0.4907004352987732,0.08822246455834241,0.049563794983642315
25,0.2611883867956523,0.27085617735185696,0.43206106870229005,0.9308615049073065,0.06913849509269354,0.385886840432295,0.6677667766776678,0.4891216760676873,0.08576881134133042,0.049563794983642315
26,0.26031711007557107,0.2703161320613541,0.4404580152671756,0.9302617230098146,0.06973827699018542,0.3849502487562189,0.680968096809681,0.49185538339292806,0.08767720828789531,0.049563794983642315
27,0.2594594051305928,0.26997321871400787,0.4389312977099237,0.9308615049073065,0.06913849509269354,0.3867507886435331,0.6743674367436744,0.491579791499599,0.08642311886586695,0.049563794983642315
28,0.25933198750838227,0.2697030743569818,0.4381679389312977,0.9320610687022901,0.06793893129770989,0.39107950872656755,0.6655665566556656,0.49267100977198697,0.08435114503816794,0.049563794983642315
29,0.2580786433400123,0.2706231588625726,0.4305343511450382,0.9305888767720829,0.0694111232279171,0.38495575221238937,0.66996699669967,0.48896025692492967,0.08625954198473282,0.049563794983642315
30,0.25726984532012764,0.2702951664233026,0.4404580152671756,0.932824427480916,0.06717557251908401,0.3942370661427636,0.6622662266226622,0.49425287356321834,0.08326063249727372,0.049563794983642315
31,0.256821766396155,0.2717010266453255,0.45572519083969465,0.9337513631406761,0.06624863685932392,0.398406374501992,0.6600660066006601,0.49689440993788814,0.08211559432933478,0.049563794983642315
32,0.2563140645899102,0.2705213359749044,0.4435114503816794,0.9319520174482007,0.06804798255179934,0.3909967845659164,0.6688668866886689,0.49350649350649356,0.08478735005452563,0.049563794983642315
33,0.255350368200174,0.27094916560267673,0.4587786259541985,0.9341330425299891,0.06586695747001092,0.3993265993265993,0.6523652365236524,0.495405179615706,0.08097055616139585,0.049563794983642315
34,0.2550830148255741,0.2708648754895188,0.44122137404580153,0.9313522355507088,0.06864776444929122,0.38910012674271227,0.6754675467546755,0.4937675914756735,0.08604143947655397,0.049563794983642315
35,0.25441801276660236,0.2700998936445658,0.44580152671755724,0.9320610687022901,0.06793893129770989,0.39315155358275206,0.682068206820682,0.49879324215607396,0.08598691384950927,0.049563794983642315
36,0.25377126612902645,0.2695915390061968,0.44274809160305345,0.931515812431843,0.068484187568157,0.389278876834716,0.671067106710671,0.49273021001615513,0.08544165757906216,0.049563794983642315
37,0.25297097402131835,0.27051444299348437,0.43587786259541983,0.9306979280261723,0.06930207197382765,0.38544303797468354,0.66996699669967,0.489353153877059,0.0861504907306434,0.049563794983642315
38,0.2525998435133763,0.270399809884661,0.4488549618320611,0.9312977099236641,0.06870229007633588,0.3892744479495268,0.6787678767876788,0.49478748997594224,0.08642311886586695,0.049563794983642315
39,0.2520171086150832,0.2706036945790735,0.44656488549618323,0.9324427480916031,0.0675572519083969,0.3938223938223938,0.6732673267326733,0.49695493300852617,0.08473282442748091,0.049563794983642315
40,0.2515635350763536,0.27055742053585197,0.4549618320610687,0.9325517993456924,0.06744820065430757,0.39378238341968913,0.6688668866886689,0.49571952710966166,0.0841875681570338,0.049563794983642315
41,0.2507216649261179,0.2712329899081747,0.4488549618320611,0.9327699018538713,0.06723009814612868,0.39466840052015606,0.6677667766776678,0.4961176951369024,0.08386041439476553,0.049563794983642315
42,0.25044794418493693,0.2714495095587869,0.449618320610687,0.9318429661941112,0.06815703380588878,0.39063502245028864,0.66996699669967,0.493517017828201,0.08500545256270448,0.049563794983642315
43,0.24990954238009103,0.2710047230920719,0.4450381679389313,0.9322791712104689,0.06772082878953112,0.39320076972418216,0.6743674367436744,0.4967585089141004,0.08500545256270448,0.049563794983642315
44,0.24954714378479625,0.2707889673819069,0.4450381679389313,0.9329334787350054,0.06706652126499457,0.3970493906350224,0.680968096809681,0.5016207455429498,0.08500545256270448,0.049563794983642315
