alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,15793,14531,1262,1162,100,92.009118,7.357690,0.633192,5,17,21,7.011188,27
0.027500,35101,33597,1504,1404,100,95.715222,3.999886,0.284892,5,16,20,6.995014,27
0.025000,60951,59568,1383,1283,100,97.730964,2.104970,0.164066,5,16,20,6.516758,27
0.022500,177070,175271,1799,1699,100,98.984018,0.959508,0.056475,5,15,18,6.379046,27
0.020000,418760,416909,1851,1751,100,99.557981,0.418139,0.023880,5,16,19,6.817818,27
0.017500,884692,883080,1612,1512,100,99.817790,0.170907,0.011303,5,14,19,6.375661,27
0.015000,3186286,3184247,2039,1939,100,99.936007,0.060855,0.003138,5,15,19,6.626612,27
0.012500,10000000,9997766,2234,2142,92,99.977660,0.021420,0.000920,5,14,17,6.456583,27
0.010000,10000000,9999376,624,600,24,99.993760,0.006000,0.000240,5,16,20,6.858333,27
0.007500,10000000,9999855,145,144,1,99.998550,0.001440,0.000010,5,15,20,6.784722,24
0.005000,10000000,9999982,18,17,1,99.999820,0.000170,0.000010,5,18,23,6.764706,23
