alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.020000,13825,13825,0,3,0,1,100,"77;412;726","","","","350;726;200;538;662;984;1238;27;628;1048;914;1117;82;1185;435;791;68;1032;419;777;1034;1171;403;485;756;336;1141;475;514;806;1039;1140;1157;77;447;772;84;428;523;761;1149","726;77"
0.020000,13841,13841,0,5,0,1,194,"92;426;770;1046;1164","","","","389;119;636;703;902;1212;54;471;796;1072;1181;92;538;776;1063;1164;1141;780;801;1058;360;427;455;445;1056;1165","92;1164"
0.020000,14303,14303,0,7,0,1,101,"1;400;409;602;772;787;1029","","","","1180;470;792;484;786;1043;107;388;77;795;1071;54;405;500;345;1079;814;51;939;592;947;1293;18;239;550;315;1249;150;261;589;920;1265;772;1029;331;63;1166;84;419;447;1048;1157;88;385;534;1059;1160;1;324;602;754;888;1091;222;587;851;922;1286;319;542;818;951;1243","772;1029;1;602"
0.020000,14621,14621,0,7,0,1,100,"260;315;525;816;1025;1270;1293","","","","525;1025;244;667;1009;1117;187;337;649;213;1225;79;430;763;1050;1151;235;124;563;842;948;1293;14;546;810;935;1245;204;516;658;1000;1108","525;1025;1293"
0.020000,15487,15487,0,5,0,1,100,"422;615;766;1042;1179","","","","71;1035;422;1042;406;1144;434;517;809;759;1143;339;478;780;1037;1174;615;1160;881;1191;87;450;775;1051;152;736","422;1042;615"
0.020000,15804,15804,0,4,0,1,100,"366;1000;1025;1133","","","","1000;204;235;516;658;1108;366;201;290;473;656;1221;500;678;1200;162;1025;1133;260;487;683;175;187;337;525;649;1225;172;315;444;681;1192","1000;366;1025;1133"
0.020000,16224,16224,0,6,0,1,115,"35;218;831;860;931;1282","","","","304;1282;581;857;936;40;126;597;716;908;1121;215;433;670;1014;1235;142;860;871;412;320;613;732;870;1083;253;605;726;966;1257","1282;860"
0.020000,16570,16570,0,6,0,1,168,"447;483;523;740;1048;1195","","","","150;740;1265;734;879;1189;274;621;420;878;1091;261;589;814;920;613;483;211;300;666;1010;1231;66;401;808;1030;1139;76;344;785;1042;1179;1195;523;1115;361;495;673;995;242;665;1007","740;483;1195;523"
0.020000,16860,16860,0,6,0,1,100,"18;239;814;841;920;947","","","","585;920;308;861;940;1286;53;220;849;44;1284;146;257;810;970;1261;239;18;550;814;939;1249;208;520;662;1004;1112;128;567;846;952;1243","920;239;18;814"
0.020000,17862,17862,0,6,0,1,100,"560;575;585;720;839;1261","","","","33;1264;356;850;929;1275;254;565;829;954;297;574;634;732;866;1123;308;720;130;601;585;912;1125;165;437;674;1018;1239;940;1286;44;861;575;34;298;851;930;1276;839;136;247;854;960;1251;43;964;1274;264;1261;53;220;849;920;1284;146;257;810;970","720;585;575;839;1261"
