alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,5305,3762,1543,1443,100,70.914232,27.200754,1.885014,4,14,17,5.456687,23
0.027500,8622,6943,1679,1579,100,80.526560,18.313616,1.159824,3,13,16,5.101963,23
0.025000,15565,13867,1698,1598,100,89.090909,10.266624,0.642467,3,12,15,4.813517,23
0.022500,27605,25884,1721,1621,100,93.765622,5.872125,0.362253,3,12,15,4.737199,23
0.020000,75124,72963,2161,2061,100,97.123423,2.743464,0.133113,3,12,15,4.769044,23
0.017500,171620,169476,2144,2044,100,98.750728,1.191003,0.058268,3,11,15,4.774462,23
0.015000,390145,388254,1891,1791,100,99.515308,0.459060,0.025631,3,12,16,5.049135,23
0.012500,1022351,1020812,1539,1439,100,99.849465,0.140754,0.009781,3,12,15,5.053509,23
0.010000,4248348,4246533,1815,1715,100,99.957278,0.040369,0.002354,4,12,15,5.101458,23
0.007500,10000000,9999110,890,832,58,99.991100,0.008320,0.000580,4,13,16,5.310096,22
0.005000,10000000,9999850,150,144,6,99.998500,0.001440,0.000060,4,10,15,5.187500,23
