alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,3965,2802,1163,1063,100,70.668348,26.809584,2.522068,4,16,22,6.773283,30
0.027500,6096,4949,1147,1047,100,81.184383,17.175197,1.640420,4,15,20,6.174785,30
0.025000,11369,10033,1336,1236,100,88.248747,10.871669,0.879585,4,15,20,6.040453,30
0.022500,22220,20875,1345,1245,100,93.946895,5.603060,0.450045,3,14,18,5.703614,30
0.020000,50795,49318,1477,1377,100,97.092233,2.710897,0.196870,3,14,18,5.729847,30
0.017500,115926,114515,1411,1311,100,98.782844,1.130894,0.086262,4,14,19,5.697941,30
0.015000,321040,319614,1426,1326,100,99.555819,0.413033,0.031149,4,15,20,6.306938,30
0.012500,708683,707545,1138,1038,100,99.839420,0.146469,0.014111,5,16,21,6.802505,30
0.010000,2791529,2790356,1173,1073,100,99.957980,0.038438,0.003582,5,15,21,6.810811,30
0.007500,10000000,9999065,935,855,80,99.990650,0.008550,0.000800,5,16,20,7.028070,30
0.005000,10000000,9999867,133,125,8,99.998670,0.001250,0.000080,5,12,17,6.216000,27
