alpha,frame_index_alpha,frame_index_global,used_iterations,frame_bit_errors,is_codeword,ml_invoked,ml_calls_in_frame,error_vn_indices,error_vn_last5_energies,global_max_last5_energies,global_max_vn_indices_last5,ml_proposed_vn_indices,ml_proposed_error_overlap
0.015000,939421,939421,30,4,0,1,1,"501;509;651;1209","501:0|2|0|2|0;509:-2|-2|-2|-2|-2;651:-2|0|-2|0|-2;1209:-2|0|-2|0|-2","0|2|0|0|2","189/501|837/1149|3/561/719/798/1045/1071/1165/1173/1288/1295|189/501|837/1149","201;656;985;275;1232;63",""
0.015000,939548,939548,30,4,0,0,0,"194;232;282;283","194:-2|0|-2|0|-2;232:0|2|0|2|0;282:0|2|0|2|0;283:-2|0|-2|0|-2","0|2|2|0|2","232/282/560/648|880/930/1208|0|232/282/560/648|880/930/1208","",""
0.015000,939747,939747,30,7,0,0,0,"357;482;600;1124;1138;1178;1230","357:0|-2|0|-2|0;482:0|-2|0|-2|0;600:0|-2|0|-2|0;1124:2|0|2|0|2;1138:-2|-2|-2|-2|-2;1178:2|0|2|0|2;1230:-2|-2|-2|-2|-2","2|0|0|2|0","386/674/1124/1178|102/150/213/301/373/387/392/426/497/528/568/587/616/1034|26/476/530/750/1021/1035/1074/1162/1176/1235|386/674/1124/1178|102/150/213/301/373/387/392/426/497/528/568/587/616/1034","",""
0.015000,939844,939844,30,6,0,0,0,"77;371;809;1043;1149;1152","77:0|-2|0|-2|0;371:0|0|0|0|0;809:0|0|0|0|0;1043:2|0|2|0|2;1149:-2|-2|-2|-2|-2;1152:0|-2|0|-2|0","2|0|0|2|0","518/1043|88/215/335/344/345/347/401/414/488/533/534/582/1019/1166|116/161/395/983/992/993/1049/1136/1181/1182/1230|518/1043|88/184/187/193/215/345/347/414/534/1019/1166","",""
0.015000,939885,939885,30,3,0,1,1,"44;861;867","44:-2|0|-2|0|-2;861:0|0|0|0|0;867:0|2|0|2|0","0|0|2|0|0","861/867/1080/1275|38/49/58/311/437/692|219/432|861/867/1080/1275|58/217/250/311/474/692","143;606;614;733;867;1275","867"
0.015000,939890,939890,30,4,0,0,0,"14;236;953;954","14:2|0|0|0|0;236:2|2|0|2|0;953:2|0|0|0|0;954:2|0|-2|0|-2","4|2|2|0|2","1245|884|598|14/236/953/1246|884","",""
0.015000,939956,939956,30,9,0,0,0,"472;503;515;659;661;693;981;983;999","472:0|0|0|0|0;503:0|2|0|2|0;515:-2|-2|-2|-2|-2;659:-2|0|-2|0|-2;661:-2|0|-2|0|-2;693:-2|-2|-2|-2|-2;981:-2|-2|-2|-2|-2;983:-4|-2|-2|-4|-4;999:-2|-2|-2|-2|-2","0|2|2|0|2","472/499/503/1003|1151|355|472/499/503/1003|1151","",""
0.015000,940356,940356,30,4,0,0,0,"407;479;804;1144","407:0|2|0|2|0;479:-2|0|-2|0|-2;804:-2|-2|-2|-2|-2;1144:-2|0|-2|0|-2","0|2|0|0|2","72/407|720/1055|496/765/858/987/988/1166/1176/1182/1252|72/407|720/1055","",""
0.015000,940520,940520,30,4,0,1,1,"86;765;1057;1159","86:-2|-2|-2|-2|-2;765:2|0|2|0|2;1057:2|0|2|0|2;1159:0|-2|0|-2|0","2|0|0|2|0","444/765/1052/1057|175/194/349/356/489/494/495/623/1092|117/404/409/818/823/993/1009/1137/1143|444/765/1052/1057|175/194/349/356/489/494/495/623/1092","765;1052;81;444;1159;44","765;1159"
0.015000,940688,940688,30,5,0,1,1,"79;432;757;883;1151","79:-2|-2|-2|-2|-2;432:-2|-2|-2|-2|-2;757:-2|0|-2|0|-2;883:0|2|0|2|0;1151:-2|-2|-2|-2|-2","0|2|2|0|2","424/883|1072|235|424/883|1072","1291;49;268;307;584;848",""
0.015000,940720,940720,30,5,0,1,3,"41;573;929;964;1274","41:-4|0|-2|-2|-4;573:-2|-2|-2|-2|-2;929:-4|0|-2|-2|-4;964:0|2|0|2|0;1274:-2|-4|-2|-4|-2","0|0|2|0|0","850/858/964/1131|55/249/260/308/463/465/471/689|210/316|850/858/964/1131|38/249/465/471/575","103;466;649;187;850;858;964;1131;0;31","964"
0.015000,940842,940842,30,5,0,1,2,"277;429;460;743;1170","277:0|2|2|0|2;429:0|4|-2|-2|0;460:-2|0|0|-2|0;743:-2|2|0|-2|0;1170:0|2|0|0|0","0|4|4|2|0","277/429/762/782/1170/1255|1077|134|277/1255|18/230/271/342/362/365/471/578/639/925","1033;1134;1283;85;113;114;277;382;429;438;762","277;429"
0.015000,941098,941098,30,3,0,1,2,"254;1019;1240","254:0|2|2|0|2;1019:-2|2|0|-2|0;1240:0|4|-4|-4|0","0|2|4|2|0","254/352/610/1240/1258|902/1000/1258|592|254/1258|21/105/168/233/311/415/474/543/563/902/1000/1258","437;177;317;610;614;674;973;352;1258",""
0.015000,941263,941263,30,3,0,1,1,"116;555;898","116:0|-2|0|-2|0;555:0|0|0|0|0;898:2|0|2|0|2","2|0|0|2|0","753/898|19/149/150/229/281/288/588/1203|105/250/251/667/797/798/877/1193|753/898|149/281/288/289/447/546/588/1203","819;753;899;1244;1270;0",""
0.015000,942290,942290,30,6,0,1,1,"109;198;287;348;626;1293","109:-2|-2|-2|-2|-2;198:-2|0|-2|0|-2;287:-2|-2|-2|-2|-2;348:-2|-2|-2|-2|-2;626:-2|-2|-2|-2|-2;1293:0|2|0|2|0","0|2|2|0|2","229/1293|877|645|229/1293|877","229;1293;8;23;39;58","1293"
0.015000,943277,943277,30,3,0,1,1,"211;684;1195","211:2|0|2|0|2;684:0|0|0|0|0;1195:0|-2|0|-2|0","2|0|0|2|0","211/483|58/136/214/334/391/402/608/804/859/1131|36/706/741/784/1050/1256|211/483|214/274/334/391/433/608/626/804/859/1131","156;211;483;684;1195;43","211;684;1195"
0.015000,943329,943329,30,5,0,0,0,"122;227;650;945;1215","122:-2|0|-2|0|-2;227:-2|0|-2|0|-2;650:-2|-2|-2|-2|-2;945:0|2|0|2|0;1215:-2|-2|-2|-2|-2","0|0|2|0|0","945/1291|0/294/411/422/447/770/875|297/643|945/1291|0/294/411/422/447/770/875","",""
0.015000,943675,943675,30,4,0,1,2,"390;788;1064;1182","390:-2|-2|-2|-2|-2;788:2|0|2|0|2;1064:0|-2|0|-2|0;1182:0|-2|0|-2|0","2|0|0|2|0","496/788|66/154/163/182/368/392/512/518/1144|140/802/830/1160/1166|496/788|66/154/163/182/368/392/512/518/1144","996;1196;231;427;448;469;496;794;56;62",""
