result_file,nb_monte_carlo,max_iterations,nbframes_stop,alpha,alpha_max,alpha_min,alpha_step,frames_tested,frames_decoded_clean,frames_baseline_only_decoded,frames_ml_needed,frames_ml_effective,frames_ml_not_effective,ml_effectiveness_pct,stagnation_events,ml_calls,ml_escapes
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000900,0.000900,0.000100,0.000050,1000000,999995,999977,23,18,5,78.260870,36,36,36
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000850,0.000900,0.000100,0.000050,1000000,999998,999992,8,6,2,75.000000,13,13,13
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000800,0.000900,0.000100,0.000050,1000000,999998,999991,9,7,2,77.777778,14,14,14
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000750,0.000900,0.000100,0.000050,1000000,999998,999986,14,12,2,85.714286,18,18,18
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000700,0.000900,0.000100,0.000050,1000000,999999,999990,10,9,1,90.000000,16,16,16
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000650,0.000900,0.000100,0.000050,1000000,999999,999994,6,5,1,83.333333,8,8,8
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000600,0.000900,0.000100,0.000050,1000000,1000000,999997,3,3,0,100.000000,3,3,3
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000550,0.000900,0.000100,0.000050,1000000,999999,999992,8,7,1,87.500000,11,11,11
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000500,0.000900,0.000100,0.000050,1000000,1000000,999996,4,4,0,100.000000,4,4,4
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000450,0.000900,0.000100,0.000050,1000000,1000000,1000000,0,0,0,0.000000,0,0,0
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000400,0.000900,0.000100,0.000050,1000000,1000000,999997,3,3,0,100.000000,3,3,3
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000350,0.000900,0.000100,0.000050,1000000,999999,999998,2,1,1,50.000000,3,3,3
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000300,0.000900,0.000100,0.000050,1000000,1000000,999999,1,1,0,100.000000,2,2,2
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000250,0.000900,0.000100,0.000050,1000000,1000000,1000000,0,0,0,0.000000,0,0,0
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000200,0.000900,0.000100,0.000050,1000000,999999,999999,1,0,1,0.000000,2,2,2
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000150,0.000900,0.000100,0.000050,1000000,1000000,1000000,0,0,0,0.000000,0,0,0
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000100,0.000900,0.000100,0.000050,1000000,1000000,1000000,0,0,0,0.000000,0,0,0
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000900,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,110,110,0
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000850,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,108,108,2
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000800,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,115,115,2
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000750,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,116,116,3
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000700,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,113,113,1
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000650,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,110,110,1
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000600,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,109,109,1
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000550,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,111,111,2
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000500,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,110,110,1
results/wifin_r_1_2/ml/simulation.res,1000000,20,100,0.000450,0.000900,0.000100,0.000050,100,0,0,100,0,100,0.000000,106,106,1
