alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,4903,3488,1415,1315,100,71.140118,26.820314,2.039568,3,10,13,4.277567,18
0.027500,6877,5516,1361,1261,100,80.209394,18.336484,1.454122,2,10,12,3.911975,18
0.025000,13854,12233,1621,1521,100,88.299408,10.978779,0.721813,2,9,12,3.893491,18
0.022500,31181,29277,1904,1804,100,93.893717,5.785575,0.320708,2,9,12,3.743902,18
0.020000,66021,64037,1984,1884,100,96.994896,2.853637,0.151467,2,9,12,3.744161,18
0.017500,134115,132424,1691,1591,100,98.739142,1.186295,0.074563,2,9,12,3.788184,18
0.015000,351291,349650,1641,1541,100,99.532866,0.438668,0.028466,3,9,12,3.810513,18
0.012500,993446,991938,1508,1408,100,99.848205,0.141729,0.010066,3,9,12,3.906960,18
0.010000,3606948,3605378,1570,1470,100,99.956473,0.040755,0.002772,3,9,12,4.102041,18
0.007500,10000000,9999036,964,933,31,99.990360,0.009330,0.000310,3,9,12,4.288317,18
0.005000,10000000,9999882,118,114,4,99.998820,0.001140,0.000040,3,7,11,3.815789,17
