alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,3947,2760,1187,1087,100,69.926526,27.539904,2.533570,3,9,11,3.839926,15
0.027500,7780,6277,1503,1403,100,80.681234,18.033419,1.285347,2,9,11,3.627940,15
0.025000,13757,12144,1613,1513,100,88.275060,10.998037,0.726903,2,8,11,3.483807,15
0.022500,28048,26334,1714,1614,100,93.889047,5.754421,0.356532,2,9,11,3.616481,15
0.020000,68112,66135,1977,1877,100,97.097428,2.755755,0.146817,2,8,10,3.378263,15
0.017500,145606,143715,1891,1791,100,98.701290,1.230032,0.068678,2,8,11,3.599107,15
0.015000,418174,416230,1944,1844,100,99.535122,0.440965,0.023913,2,8,11,3.582430,15
0.012500,1131874,1130178,1696,1596,100,99.850160,0.141005,0.008835,3,8,10,3.581454,15
0.010000,4081326,4079500,1826,1726,100,99.955260,0.042290,0.002450,3,8,10,3.670915,15
0.007500,10000000,9999158,842,805,37,99.991580,0.008050,0.000370,3,8,10,3.659627,15
0.005000,10000000,9999874,126,123,3,99.998740,0.001230,0.000030,2,6,8,3.105691,15
