alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,4834,3420,1414,1314,100,70.748862,27.182458,2.068680,4,17,21,6.597412,30
0.027500,8197,6623,1574,1474,100,80.797853,17.982189,1.219959,4,16,21,6.470828,30
0.025000,15899,14131,1768,1668,100,88.879804,10.491226,0.628970,3,15,20,5.980216,30
0.022500,25627,24108,1519,1419,100,94.072658,5.537129,0.390213,4,15,19,5.902044,30
0.020000,59278,57530,1748,1648,100,97.051183,2.780121,0.168697,3,15,19,5.769417,30
0.017500,140267,138501,1766,1666,100,98.740973,1.187735,0.071293,4,15,19,6.193277,30
0.015000,334016,332369,1647,1547,100,99.506910,0.463151,0.029939,4,15,20,6.325145,30
0.012500,1138928,1137107,1821,1721,100,99.840113,0.151107,0.008780,5,16,21,6.606043,30
0.010000,4900015,4898011,2004,1904,100,99.959102,0.038857,0.002041,5,16,22,7.244223,29
0.007500,10000000,9998671,1329,1256,73,99.986710,0.012560,0.000730,5,16,20,7.564490,30
0.005000,10000000,9999871,129,126,3,99.998710,0.001260,0.000030,5,15,19,6.547619,28
0.030000,4834,3420,1414,1314,100,70.748862,27.182458,2.068680,4,17,21,6.597412,30
0.027500,8197,6623,1574,1474,100,80.797853,17.982189,1.219959,4,16,21,6.470828,30
0.025000,15899,14131,1768,1668,100,88.879804,10.491226,0.628970,3,15,20,5.980216,30
