alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,3619,2589,1030,930,100,71.539099,25.697707,2.763194,4,16,21,6.545161,30
0.027500,7027,5650,1377,1277,100,80.404155,18.172762,1.423082,4,14,19,6.061081,30
0.025000,12337,10934,1403,1303,100,88.627705,10.561725,0.810570,4,14,18,5.764390,29
0.022500,25201,23669,1532,1432,100,93.920876,5.682314,0.396810,3,14,18,5.564246,30
0.020000,47414,46009,1405,1305,100,97.036740,2.752352,0.210908,4,14,19,5.859770,30
0.017500,114160,112733,1427,1327,100,98.750000,1.162404,0.087596,4,16,21,6.376036,30
0.015000,282350,280957,1393,1293,100,99.506641,0.457942,0.035417,4,16,21,6.125290,30
0.012500,857798,856494,1304,1204,100,99.847983,0.140359,0.011658,5,14,18,6.313953,30
0.010000,3525233,3523694,1539,1439,100,99.956343,0.040820,0.002837,4,14,19,6.339124,30
0.007500,10000000,9999037,963,892,71,99.990370,0.008920,0.000710,5,15,22,6.885650,30
0.005000,10000000,9999870,130,123,7,99.998700,0.001230,0.000070,5,15,19,6.886179,27
