alpha,frames_tested,frames_no_feedback_round_count,frames_entered_feedback_round_count,feedback_success_count,not_managed_decode_count,pct_of_tested_no_feedback_success,pct_of_tested_feedback_success,pct_of_tested_not_managed_decode,gen_p50,gen_p90,gen_p95,gen_mean,gen_max
0.030000,4592,3219,1373,1273,100,70.100174,27.722125,2.177700,3,10,13,4.417125,18
0.027500,7065,5682,1383,1283,100,80.424628,18.159943,1.415428,3,10,13,4.194856,18
0.025000,13685,12199,1486,1386,100,89.141396,10.127877,0.730727,3,9,13,4.027417,18
0.022500,26600,24977,1623,1523,100,93.898496,5.725564,0.375940,2,9,12,3.861458,18
0.020000,62978,61053,1925,1825,100,96.943377,2.897837,0.158786,2,10,12,3.865753,18
0.017500,156076,154130,1946,1846,100,98.753172,1.182757,0.064071,3,10,13,4.140845,18
0.015000,359166,357481,1685,1585,100,99.530858,0.441300,0.027842,3,9,13,4.081388,18
0.012500,1406702,1404539,2163,2063,100,99.846236,0.146655,0.007109,3,9,12,4.119729,18
0.010000,4691054,4688920,2134,2034,100,99.954509,0.043359,0.002132,3,9,13,4.215831,18
0.007500,10000000,9999031,969,923,46,99.990310,0.009230,0.000460,3,9,12,4.343445,18
0.005000,10000000,9999879,121,120,1,99.998790,0.001200,0.000010,3,8,10,3.625000,13
