alpha,frames_tested,frames_feedback_success,gen,count,pct_among_feedback_success,cumulative_pct,is_overflow
0.030000,4592,1273,1,375,29.457973,29.457973,0
0.030000,4592,1273,2,193,15.161037,44.619010,0
0.030000,4592,1273,3,126,9.897879,54.516889,0
0.030000,4592,1273,4,118,9.269442,63.786332,0
0.030000,4592,1273,5,77,6.048704,69.835035,0
0.030000,4592,1273,6,92,7.227023,77.062058,0
0.030000,4592,1273,7,62,4.870385,81.932443,0
0.030000,4592,1273,8,37,2.906520,84.838963,0
0.030000,4592,1273,9,32,2.513747,87.352710,0
0.030000,4592,1273,10,34,2.670856,90.023566,0
0.030000,4592,1273,11,31,2.435192,92.458759,0
0.030000,4592,1273,12,18,1.413983,93.872742,0
0.030000,4592,1273,13,24,1.885310,95.758052,0
0.030000,4592,1273,14,12,0.942655,96.700707,0
0.030000,4592,1273,15,15,1.178319,97.879026,0
0.030000,4592,1273,16,13,1.021210,98.900236,0
0.030000,4592,1273,17,5,0.392773,99.293009,0
0.030000,4592,1273,18,9,0.706991,100.000000,0
0.027500,7065,1283,1,422,32.891660,32.891660,0
0.027500,7065,1283,2,166,12.938426,45.830086,0
0.027500,7065,1283,3,146,11.379579,57.209665,0
0.027500,7065,1283,4,122,9.508963,66.718628,0
0.027500,7065,1283,5,82,6.391270,73.109899,0
0.027500,7065,1283,6,73,5.689790,78.799688,0
0.027500,7065,1283,7,48,3.741231,82.540920,0
0.027500,7065,1283,8,40,3.117693,85.658613,0
0.027500,7065,1283,9,36,2.805924,88.464536,0
0.027500,7065,1283,10,29,2.260327,90.724864,0
0.027500,7065,1283,11,30,2.338270,93.063133,0
0.027500,7065,1283,12,23,1.792673,94.855807,0
0.027500,7065,1283,13,16,1.247077,96.102884,0
0.027500,7065,1283,14,18,1.402962,97.505846,0
0.027500,7065,1283,15,11,0.857366,98.363211,0
0.027500,7065,1283,16,9,0.701481,99.064692,0
0.027500,7065,1283,17,7,0.545596,99.610288,0
0.027500,7065,1283,18,5,0.389712,100.000000,0
0.025000,13685,1386,1,474,34.199134,34.199134,0
0.025000,13685,1386,2,203,14.646465,48.845599,0
0.025000,13685,1386,3,163,11.760462,60.606061,0
0.025000,13685,1386,4,110,7.936508,68.542569,0
0.025000,13685,1386,5,85,6.132756,74.675325,0
0.025000,13685,1386,6,68,4.906205,79.581530,0
0.025000,13685,1386,7,62,4.473304,84.054834,0
0.025000,13685,1386,8,46,3.318903,87.373737,0
0.025000,13685,1386,9,37,2.669553,90.043290,0
0.025000,13685,1386,10,20,1.443001,91.486291,0
0.025000,13685,1386,11,23,1.659452,93.145743,0
0.025000,13685,1386,12,17,1.226551,94.372294,0
0.025000,13685,1386,13,25,1.803752,96.176046,0
0.025000,13685,1386,14,15,1.082251,97.258297,0
0.025000,13685,1386,15,13,0.937951,98.196248,0
0.025000,13685,1386,16,13,0.937951,99.134199,0
0.025000,13685,1386,17,6,0.432900,99.567100,0
0.025000,13685,1386,18,6,0.432900,100.000000,0
0.022500,26600,1523,1,577,37.885752,37.885752,0
0.022500,26600,1523,2,203,13.328956,51.214708,0
0.022500,26600,1523,3,159,10.439921,61.654629,0
0.022500,26600,1523,4,131,8.601445,70.256074,0
0.022500,26600,1523,5,80,5.252791,75.508864,0
0.022500,26600,1523,6,79,5.187131,80.695995,0
0.022500,26600,1523,7,53,3.479974,84.175968,0
0.022500,26600,1523,8,49,3.217334,87.393303,0
0.022500,26600,1523,9,41,2.692055,90.085358,0
0.022500,26600,1523,10,40,2.626395,92.711753,0
0.022500,26600,1523,11,29,1.904137,94.615890,0
0.022500,26600,1523,12,20,1.313198,95.929087,0
0.022500,26600,1523,13,14,0.919238,96.848326,0
0.022500,26600,1523,14,12,0.787919,97.636244,0
0.022500,26600,1523,15,13,0.853578,98.489823,0
0.022500,26600,1523,16,9,0.590939,99.080762,0
0.022500,26600,1523,17,9,0.590939,99.671701,0
0.022500,26600,1523,18,5,0.328299,100.000000,0
0.020000,62978,1825,1,672,36.821918,36.821918,0
0.020000,62978,1825,2,277,15.178082,52.000000,0
0.020000,62978,1825,3,191,10.465753,62.465753,0
0.020000,62978,1825,4,149,8.164384,70.630137,0
